,Power (hp),Engine cylinder,Bore (mm),Stroke (mm),Cooling system,Transmission type
5555,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5556,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5557,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5558,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5559,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5560,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5561,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5562,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5563,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5564,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5565,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5566,27.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
5583,7.8,Single cylinder,52.4,57.8,Air,Belt
5584,7.8,Single cylinder,52.4,57.8,Air,Belt
5585,7.8,Single cylinder,52.4,0.0,Air,Belt
5587,7.8,Single cylinder,52.4,57.8,Air,Belt
5588,7.0,Single cylinder,52.4,57.8,Air,Belt
5591,7.9,Single cylinder,57.4,57.8,Liquid,Belt
5593,9.4,Single cylinder,57.4,57.8,Air,Belt
5597,3.4,Single cylinder,39.0,41.5,Air,Belt
5607,3.6,Single cylinder,40.0,39.2,Air,Belt
5608,23.7,Twin,78.0,78.0,Air,Shaft drive
5620,26.0,Twin,78.0,78.0,Air,Chain
5628,42.0,Single cylinder,96.0,62.1,Liquid,Chain
5629,44.0,Single cylinder,96.0,62.1,Liquid,Chain
5630,44.0,Single cylinder,92.0,62.1,Liquid,Chain
5631,42.0,Single cylinder,96.0,62.1,Liquid,Chain
5632,42.0,Single cylinder,96.0,62.1,Liquid,Chain
5633,42.0,Single cylinder,96.0,62.1,Liquid,Chain
5634,42.0,Single cylinder,96.0,62.1,Liquid,Chain
5635,44.0,Single cylinder,92.0,62.1,Liquid,Chain
5637,16.9,Twin,55.0,53.0,Oil & air,Chain
5638,16.8,Twin,55.0,53.0,Oil & air,Chain
5639,42.0,Single cylinder,85.0,70.0,Oil & air,Chain
5640,42.2,Single cylinder,85.0,70.0,Oil & air,Chain
5641,14.1,Single cylinder,67.0,65.0,Air,Chain
5642,14.1,Single cylinder,67.0,65.0,Air,Chain
5643,14.1,Single cylinder,67.0,65.0,Air,Chain
5652,7.0,Single cylinder,52.4,49.5,Air,Chain
5655,43.5,Single cylinder,96.0,62.1,Liquid,Chain
5656,43.5,Single cylinder,96.0,62.1,Liquid,Chain
5672,15.4,Single cylinder,67.0,65.0,Air,Chain
5673,15.4,Single cylinder,67.0,65.0,Air,Chain
5674,16.1,Single cylinder,65.5,66.2,Air,Chain
5776,67.1,Single cylinder,44.5,44.7,Liquid,Chain
5777,67.1,Single cylinder,44.5,44.7,Liquid,Chain
5798,160.0,V2,111.1,111.1,Oil & air,Chain
5799,145.0,V2,111.1,111.1,Oil & air,Chain
5808,150.0,V2,108.0,92.0,Liquid,Chain
5809,135.0,V2,108.0,92.0,Liquid,Chain
5862,13.0,Single cylinder,61.0,57.8,Liquid,Belt
5869,4.4,Single cylinder,40.0,39.2,Liquid,Belt
5870,4.4,Single cylinder,40.0,39.2,Liquid,Belt
5871,4.4,Single cylinder,40.0,39.2,Liquid,Belt
5882,3.2,Single cylinder,40.0,39.2,Liquid,Belt
5886,3.2,Single cylinder,40.0,39.2,Liquid,Belt
5890,3.0,Single cylinder,40.0,39.2,Liquid,Chain
5896,6.8,Single cylinder,40.0,39.2,Liquid,Chain
5900,6.8,Single cylinder,40.0,39.2,Liquid,Chain
5913,10.5,Single cylinder,56.5,49.5,Air,Chain
5917,95.2,V2,104.8,111.1,Air,Chain
5918,95.2,V2,104.8,111.1,Air,Chain
5919,95.2,V2,104.8,111.1,Air,Chain
5920,95.2,V2,104.8,111.1,Air,Chain
5921,95.2,V2,104.8,111.1,Air,Chain
5924,95.2,V2,104.8,111.1,Air,Chain
5925,95.2,V2,104.8,111.1,Air,Chain
5926,54.0,Single cylinder,100.0,83.0,Liquid,Chain
5928,54.0,Single cylinder,100.0,83.0,Liquid,Chain
5929,54.0,Single cylinder,100.0,83.0,Liquid,Chain
5930,54.0,Single cylinder,100.0,83.0,Liquid,Chain
5941,53.6,Single cylinder,100.0,83.0,Liquid,Chain
5942,28.2,Single cylinder,100.0,83.0,Liquid,Chain
5945,53.6,Single cylinder,100.0,83.0,Liquid,Chain
5946,68.0,Single cylinder,100.0,83.0,Liquid,Chain
5947,68.0,Single cylinder,100.0,83.0,Liquid,Chain
5948,85.0,Single cylinder,100.0,83.0,Liquid,Chain
5950,83.8,Single cylinder,100.0,83.0,Liquid,Chain
5951,68.0,Single cylinder,100.0,83.0,Liquid,Chain
5952,68.0,Single cylinder,100.0,83.0,Liquid,Chain
5953,67.1,Single cylinder,100.0,83.0,Liquid,Chain
5954,29.0,Single cylinder,100.0,83.0,Liquid,Chain
5956,54.0,Single cylinder,100.0,83.0,Liquid,Chain
5957,29.0,Single cylinder,100.0,83.0,Liquid,Chain
5972,40.2,Single cylinder,94.5,64.0,Liquid,Chain
5974,48.5,Twin,66.0,55.2,Liquid,Chain
6035,11.0,Single cylinder,52.0,58.0,Air,Chain
6036,11.0,Single cylinder,52.0,58.0,Air,Chain
6037,11.0,Single cylinder,52.0,58.0,Air,Chain
6038,11.0,Single cylinder,52.0,58.0,Air,Chain
6040,15.0,Single cylinder,58.0,65.0,Air,Chain
6041,15.0,Single cylinder,58.0,65.0,Air,Chain
6042,15.0,Single cylinder,58.0,65.0,Air,Chain
6050,34.0,Single cylinder,70.0,64.0,Air,Chain
6051,17.0,Twin,52.0,58.0,Air,Chain
6052,17.0,Twin,52.0,58.0,Air,Chain
6053,17.0,Twin,52.0,58.0,Air,Chain
6054,13.0,Single cylinder,66.0,72.0,Air,Chain
6055,21.0,Twin,58.0,64.0,Air,Chain
6056,22.0,Twin,58.0,65.0,Air,Chain
6057,22.0,Twin,58.0,65.0,Air,Chain
6058,22.0,Twin,58.0,65.0,Air,Chain
6061,42.0,Single cylinder,82.0,72.0,Air,Chain
6068,11.5,Single cylinder,56.0,50.7,Oil & air,Chain
6069,11.5,Single cylinder,56.0,50.7,Oil & air,Chain
6072,11.5,Single cylinder,56.0,50.7,Oil & air,Chain
6080,7.7,Single cylinder,50.0,55.5,Air,Belt
6087,8.7,Single cylinder,52.4,57.8,Air,Belt
6088,8.7,Single cylinder,52.4,57.8,Air,Belt
6090,23.1,Single cylinder,73.0,59.0,Liquid,Chain
6091,23.1,Single cylinder,73.0,59.0,Liquid,Chain
6099,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6107,11.6,Single cylinder,56.0,50.7,Air,Belt
6109,12.3,Single cylinder,56.0,50.7,Air,Belt
6117,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6120,14.8,Single cylinder,56.0,50.7,Oil & air,Chain
6121,14.8,Single cylinder,56.0,50.7,Liquid,Chain
6122,14.8,Single cylinder,56.0,50.7,Liquid,Chain
6123,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6124,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6125,11.6,Single cylinder,56.5,49.5,Air,Chain
6140,11.5,Single cylinder,56.0,50.7,Oil & air,Chain
6141,11.5,Single cylinder,56.0,50.7,Oil & air,Chain
6144,11.5,Single cylinder,56.0,50.7,Oil & air,Chain
6152,14.0,Single cylinder,56.0,49.5,Liquid,Chain
6154,25.0,Single cylinder,73.0,59.0,Liquid,Belt
6155,24.0,Single cylinder,73.0,59.0,Oil & air,Belt
6156,25.0,Single cylinder,73.0,59.0,Liquid,Belt
6157,25.0,Single cylinder,73.0,59.0,Liquid,Belt
6166,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6167,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6168,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6169,25.0,Single cylinder,73.0,59.0,Liquid,Chain
6173,17.7,Single cylinder,56.5,49.5,Air,Belt
6174,17.7,Single cylinder,56.5,49.5,Air,Belt
6179,12.0,Single cylinder,56.5,49.5,Air,Chain
6185,4.3,Single cylinder,40.3,39.0,Liquid,Chain
6208,9.5,Single cylinder,57.0,48.8,Liquid,Chain
6209,6.3,Single cylinder,41.2,39.0,Liquid,Chain
6211,9.5,Single cylinder,57.0,48.8,Air,Chain
6213,6.3,Single cylinder,40.3,39.0,Liquid,Chain
6214,11.1,Single cylinder,56.5,49.5,Air,Chain
6215,11.1,Single cylinder,56.5,49.5,Air,Chain
6216,12.1,Single cylinder,57.0,48.8,Air,Chain
6217,12.1,Single cylinder,57.0,48.8,Air,Chain
6219,28.2,Single cylinder,65.0,60.0,Air,Chain
6220,14.0,Single cylinder,57.0,57.8,Air,Chain
6221,14.0,Single cylinder,57.0,57.8,Air,Chain
6222,13.9,Single cylinder,65.0,60.0,Air,Belt
6223,22.7,Single cylinder,73.0,63.0,Air,Belt
6224,27.8,Single cylinder,75.0,63.0,Air,Belt
6226,12.8,Single cylinder,57.3,57.8,Liquid,Chain
6227,23.1,Single cylinder,73.0,59.8,Liquid,Chain
6228,23.1,Single cylinder,73.0,59.8,Liquid,Chain
6229,13.1,Single cylinder,62.0,49.5,Air,Chain
6230,13.1,Single cylinder,62.0,49.5,Air,Chain
6232,11.5,Single cylinder,57.4,57.8,Air,Belt
6233,33.3,Single cylinder,83.0,73.8,Liquid,Belt
6234,25.0,Single cylinder,71.0,63.0,Liquid,Chain
6235,27.0,Single cylinder,71.0,63.0,Liquid,Chain
6238,12.1,Single cylinder,62.0,49.5,Air,Chain
6240,10.3,Single cylinder,52.4,57.8,Air,Belt
6241,13.2,Single cylinder,62.0,49.5,Air,Chain
6242,13.2,Single cylinder,62.0,49.5,Air,Chain
6243,6.2,Single cylinder,50.0,49.5,Air,Chain
6283,11.0,Single cylinder,39.0,41.7,Air,Chain
6284,11.0,Single cylinder,39.0,41.7,Air,Chain
6286,12.0,Single cylinder,39.0,41.7,Liquid,Chain
6287,12.0,Single cylinder,39.0,41.7,Liquid,Chain
6290,12.0,Single cylinder,39.0,41.7,Liquid,Chain
6357,7.3,Single cylinder,50.0,49.0,Air,Shaft drive
6362,3.6,Single cylinder,39.0,41.8,Air,Shaft drive
6363,3.6,Single cylinder,39.0,41.8,Air,Belt
6370,10.5,Single cylinder,57.0,48.6,Air,Shaft drive
6371,10.5,Single cylinder,57.0,48.6,Air,Shaft drive
6378,11.5,Single cylinder,62.0,48.6,Air,Shaft drive
6379,12.5,Single cylinder,72.0,48.6,Air,Belt
6380,12.5,Single cylinder,72.0,48.6,Air,Shaft drive
6402,10.7,Single cylinder,50.0,49.0,Air,Chain
6403,8.0,Single cylinder,50.0,49.0,Oil & air,Chain
6408,4.6,Single cylinder,39.0,41.0,Air,Chain
6418,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6419,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6442,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6443,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6444,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6445,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6446,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6447,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6449,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6461,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6467,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6485,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6486,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6487,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6488,12.0,Single cylinder,54.0,54.0,Air,Chain
6490,48.6,Single cylinder,100.0,84.0,Liquid,Chain
6491,48.6,Single cylinder,100.0,84.0,Liquid,Chain
6496,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6497,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6498,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6499,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6506,20.1,Single cylinder,58.0,47.0,Liquid,Chain
6510,20.1,Single cylinder,58.0,47.0,Liquid,Chain
6518,14.8,Single cylinder,57.0,48.6,Liquid,Belt
6521,22.1,Single cylinder,72.0,63.0,Liquid,Belt
6522,22.5,Single cylinder,75.0,63.0,Liquid,Belt
6523,22.5,Single cylinder,75.0,63.0,Liquid,Belt
6524,22.5,Single cylinder,75.0,63.0,Liquid,Belt
6533,12.0,Single cylinder,54.0,54.0,Air,Chain
6545,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6546,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6547,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6549,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6550,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6551,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6552,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6553,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6554,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6555,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6590,14.8,Single cylinder,58.0,47.0,Liquid,Chain
6613,12.0,Single cylinder,54.0,54.0,Air,Chain
6618,15.3,Single cylinder,54.0,54.0,Air,Chain
6653,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6658,10.6,Single cylinder,57.0,48.6,Air,Belt
6659,10.6,Single cylinder,57.0,48.6,Air,Belt
6660,10.6,Single cylinder,57.0,48.6,Air,Belt
6661,4.6,Single cylinder,40.0,39.3,Air,Belt
6662,4.6,Single cylinder,40.0,39.3,Air,Belt
6663,4.6,Single cylinder,40.0,39.3,Air,Belt
6669,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6670,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6671,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6673,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6674,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6675,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6676,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6677,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6678,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6679,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6680,15.0,Single cylinder,58.0,47.0,Liquid,Chain
6682,5.8,Single cylinder,39.9,40.0,Air,Shaft drive
6684,5.8,Single cylinder,39.9,40.0,Air,Shaft drive
6687,5.8,Single cylinder,39.9,40.0,Air,Shaft drive
6689,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6690,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6691,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6692,8.5,Single cylinder,39.9,40.0,Liquid,Chain
6700,7.4,Single cylinder,52.4,57.8,Air,Belt
6720,7.4,Single cylinder,52.4,57.8,Air,Belt
6738,1.2,Single cylinder,39.0,41.8,Air,Belt
6820,20.5,Single cylinder,72.7,70.0,Liquid,Belt
6825,17.4,Single cylinder,72.7,70.0,Liquid,Belt
6827,4.5,Single cylinder,40.0,39.2,Air,Chain
6852,15.0,Twin,68.0,68.0,Air,Chain
6887,18.5,Twin,64.0,76.0,Air,Chain
6888,18.5,Twin,64.0,76.0,Air,Chain
6889,18.5,Twin,64.0,76.0,Air,Chain
6890,5.7,Single cylinder,52.0,58.0,Air,Chain
6891,5.7,Single cylinder,52.0,58.0,Air,Chain
6892,5.7,Single cylinder,52.0,58.0,Air,Chain
6893,5.7,Single cylinder,52.0,58.0,Air,Chain
6894,5.7,Single cylinder,52.0,58.0,Air,Chain
6895,5.7,Single cylinder,52.0,58.0,Air,Chain
6896,5.7,Single cylinder,52.0,58.0,Air,Chain
6897,5.7,Single cylinder,52.0,58.0,Air,Chain
6898,5.7,Single cylinder,52.0,58.0,Air,Chain
6899,5.7,Single cylinder,52.0,58.0,Air,Chain
6900,5.7,Single cylinder,52.0,58.0,Air,Chain
6901,17.0,Single cylinder,54.0,54.0,Air,Chain
6902,5.3,Single cylinder,38.0,44.0,Air,Chain
6907,9.6,Single cylinder,62.0,58.0,Air,Chain
6908,9.6,Single cylinder,62.0,58.0,Air,Chain
6909,9.6,Single cylinder,62.0,58.0,Air,Chain
6912,11.0,Single cylinder,62.0,64.0,Air,Chain
6913,11.0,Single cylinder,66.0,58.0,Air,Chain
6914,11.0,Single cylinder,66.0,58.0,Air,Chain
6915,11.0,Single cylinder,68.0,58.0,Air,Chain
6916,11.0,Single cylinder,68.0,58.0,Air,Chain
6917,11.0,Single cylinder,68.0,58.0,Air,Chain
6918,11.0,Single cylinder,68.0,58.0,Air,Chain
6919,11.0,Single cylinder,68.0,58.0,Air,Chain
6920,11.0,Single cylinder,66.0,58.0,Air,Chain
6921,11.0,Single cylinder,66.0,58.0,Air,Chain
6922,11.0,Single cylinder,66.0,58.0,Air,Chain
6925,12.5,Single cylinder,70.0,64.0,Air,Chain
6926,12.5,Single cylinder,70.0,64.0,Air,Chain
6927,14.1,Single cylinder,70.0,64.0,Air,Chain
6928,14.1,Single cylinder,70.0,64.0,Air,Chain
6929,14.1,Single cylinder,70.0,64.0,Air,Chain
6933,18.5,Twin,62.0,58.0,Air,Chain
6934,18.5,Twin,62.0,58.0,Air,Chain
6935,15.0,Twin,68.0,68.0,Air,Chain
6936,15.0,Twin,68.0,68.0,Air,Chain
6937,15.0,Twin,68.0,68.0,Air,Chain
6938,15.0,Twin,68.0,68.0,Air,Chain
6968,32.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6969,32.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6970,25.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6971,25.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6972,25.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6973,25.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6974,25.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6975,36.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6976,36.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6977,36.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6978,36.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6979,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6980,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6981,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6982,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6983,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6984,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6985,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6986,26.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
6987,26.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
6988,26.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
6989,26.0,Two cylinder boxer,78.0,78.0,Air,Shaft drive
6991,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6992,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6993,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6994,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6995,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6996,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
6997,38.0,Two cylinder boxer,78.0,68.0,Air,Shaft drive
7031,42.0,V2,66.0,51.0,Air,Chain
7032,26.0,Twin,78.0,78.0,Air,Chain
7033,26.0,Twin,78.0,78.0,Air,Chain
7034,26.0,Twin,78.0,78.0,Air,Chain
7035,26.0,Twin,78.0,78.0,Air,Chain
7040,76.0,V2,88.0,80.0,Air,Chain
7041,76.0,V2,88.0,80.0,Air,Chain
7042,76.0,V2,88.0,80.0,Air,Chain
7043,76.0,V2,88.0,80.0,Air,Chain
7044,76.0,V2,88.0,80.0,Air,Chain
7045,76.0,V2,88.0,80.0,Air,Chain
7047,180.0,V2,106.0,67.9,Liquid,Chain
7048,170.0,V2,106.0,67.9,Liquid,Chain
7050,195.0,V2,112.0,60.8,Liquid,Chain
7051,191.0,V2,112.0,60.8,Liquid,Chain
7052,195.0,V2,112.0,60.8,Liquid,Chain
7053,195.0,V2,112.0,60.8,Liquid,Chain
7054,195.0,V2,112.0,60.8,Liquid,Chain
7055,195.0,V2,112.0,60.8,Liquid,Chain
7056,191.0,V2,112.0,60.8,Liquid,Chain
7057,195.0,V2,112.0,60.8,Liquid,Chain
7058,195.0,V2,112.0,60.8,Liquid,Chain
7059,195.0,V2,112.0,60.8,Liquid,Chain
7060,6.4,Single cylinder,55.2,52.0,Air,Chain
7061,17.0,Single cylinder,54.0,54.0,Air,Chain
7062,17.0,Single cylinder,54.0,54.0,Air,Chain
7063,29.2,Single cylinder,54.0,54.0,Air,Chain
7065,9.5,Single cylinder,55.2,52.0,Air,Chain
7066,205.0,V2,116.0,60.8,Liquid,Chain
7067,205.0,V2,116.0,60.8,Liquid,Chain
7068,205.0,V2,116.0,60.8,Liquid,Chain
7069,209.0,V2,116.0,60.8,Liquid,Chain
7070,205.0,V2,116.0,60.8,Liquid,Chain
7071,205.0,V2,116.0,60.8,Liquid,Chain
7072,205.0,V2,116.0,60.8,Liquid,Chain
7073,205.0,V2,116.0,60.8,Liquid,Chain
7074,13.0,Single cylinder,61.0,52.0,Air,Chain
7075,13.0,Single cylinder,61.0,52.0,Air,Chain
7076,13.0,Single cylinder,61.0,52.0,Air,Chain
7081,19.0,Single cylinder,74.0,57.8,Air,Chain
7082,19.0,Single cylinder,74.0,57.8,Air,Chain
7083,19.0,Single cylinder,74.0,57.8,Air,Chain
7084,19.0,Single cylinder,74.0,57.8,Air,Chain
7085,19.0,Single cylinder,74.0,57.8,Air,Chain
7086,19.0,Single cylinder,74.0,57.8,Air,Chain
7087,19.0,Single cylinder,74.0,57.8,Air,Chain
7091,18.0,Single cylinder,74.0,57.8,Air,Chain
7092,18.0,Single cylinder,74.0,57.8,Air,Chain
7093,18.0,Single cylinder,74.0,57.8,Air,Chain
7094,18.0,Single cylinder,74.0,57.8,Air,Chain
7095,18.0,Single cylinder,74.0,57.8,Air,Chain
7096,20.0,Single cylinder,74.0,57.8,Air,Chain
7097,20.0,Single cylinder,74.0,57.8,Air,Chain
7098,20.0,Single cylinder,74.0,57.8,Air,Chain
7099,20.0,Single cylinder,74.0,57.8,Air,Chain
7100,20.0,Single cylinder,74.0,57.8,Air,Chain
7103,18.0,Single cylinder,74.0,57.8,Air,Chain
7104,18.0,Single cylinder,74.0,57.8,Air,Chain
7106,42.0,V2,66.0,51.0,Air,Chain
7107,42.0,V2,66.0,51.0,Air,Chain
7108,42.0,V2,66.0,51.0,Air,Chain
7109,27.0,Twin,71.8,43.2,Air,Chain
7110,27.0,Twin,71.8,43.2,Air,Chain
7111,24.0,Twin,71.8,43.2,Air,Chain
7112,24.0,Twin,71.8,43.2,Air,Chain
7113,24.0,Single cylinder,76.0,75.0,Air,Chain
7114,24.0,Single cylinder,76.0,75.0,Air,Chain
7115,24.0,Single cylinder,76.0,75.0,Air,Chain
7116,24.0,Single cylinder,76.0,75.0,Air,Chain
7117,24.0,Single cylinder,76.0,75.0,Air,Chain
7118,26.0,Single cylinder,76.0,75.0,Air,Chain
7119,26.0,Single cylinder,76.0,75.0,Air,Chain
7120,26.0,Single cylinder,76.0,75.0,Air,Chain
7121,26.0,Single cylinder,76.0,75.0,Air,Chain
7122,26.0,Single cylinder,76.0,75.0,Air,Chain
7124,26.0,Twin,71.8,43.2,Air,Chain
7125,26.0,Twin,71.8,43.2,Air,Chain
7126,24.0,Single cylinder,76.0,75.0,Air,Chain
7127,24.0,Single cylinder,76.0,75.0,Air,Chain
7128,27.0,V2,66.0,51.0,Air,Chain
7129,27.0,Single cylinder,86.0,75.0,Air,Chain
7130,27.0,Single cylinder,86.0,75.0,Air,Chain
7131,27.0,Single cylinder,86.0,75.0,Air,Chain
7132,27.0,Single cylinder,86.0,75.0,Air,Chain
7133,27.0,Single cylinder,86.0,75.0,Air,Chain
7134,31.0,Single cylinder,86.0,75.0,Air,Chain
7135,31.0,Single cylinder,86.0,75.0,Air,Chain
7136,31.0,Single cylinder,86.0,75.0,Air,Chain
7137,31.0,Single cylinder,86.0,75.0,Air,Chain
7138,31.0,Single cylinder,86.0,75.0,Air,Chain
7141,27.0,Single cylinder,86.0,75.0,Air,Chain
7142,27.0,Single cylinder,86.0,75.0,Air,Chain
7143,20.0,Single cylinder,86.0,75.0,Air,Chain
7144,35.0,Twin,78.0,52.0,Air,Chain
7145,35.0,Twin,78.0,52.0,Air,Chain
7146,39.0,Twin,78.0,52.0,Air,Chain
7147,39.0,Twin,78.0,52.0,Air,Chain
7148,50.0,V2,74.0,57.8,Air,Chain
7149,50.0,V2,74.0,57.8,Air,Chain
7150,50.0,V2,74.0,57.8,Air,Chain
7151,43.0,Twin,78.0,52.0,Air,Chain
7152,43.0,Twin,78.0,52.0,Air,Chain
7153,50.0,V2,74.0,57.8,Air,Chain
7154,50.0,V2,74.0,57.8,Air,Chain
7155,50.0,V2,74.0,57.8,Air,Chain
7160,57.0,V2,80.0,57.8,Air,Chain
7161,57.0,V2,80.0,57.8,Air,Chain
7162,57.0,V2,80.0,57.8,Air,Chain
7163,57.0,V2,80.0,57.8,Air,Chain
7166,50.0,V2,80.0,57.8,Air,Chain
7167,57.0,V2,80.0,57.8,Air,Chain
7168,57.0,V2,80.0,57.8,Air,Chain
7169,61.0,V2,80.0,61.5,Air,Chain
7170,32.6,V2,80.0,61.5,Air,Chain
7171,61.0,V2,80.0,61.5,Air,Chain
7172,32.6,V2,80.0,61.5,Air,Chain
7173,50.0,V2,82.0,61.5,Air,Chain
7175,97.0,V2,88.0,65.5,Liquid,Chain
7176,97.0,V2,88.0,61.5,Liquid,Chain
7182,97.0,V2,88.0,61.5,Liquid,Chain
7185,106.0,V2,88.0,65.5,Liquid,Chain
7188,97.0,V2,88.0,65.5,Liquid,Chain
7192,103.0,V2,90.0,58.8,Liquid,Chain
7193,103.0,V2,90.0,58.8,Liquid,Chain
7194,106.0,V2,90.0,58.8,Liquid,Chain
7195,106.0,V2,90.0,58.8,Liquid,Chain
7196,106.0,V2,90.0,58.8,Liquid,Chain
7197,106.0,V2,90.0,58.8,Liquid,Chain
7198,116.0,V2,94.0,54.0,Liquid,Chain
7199,121.0,V2,94.0,54.0,Liquid,Chain
7200,119.0,V2,94.0,54.0,Liquid,Chain
7201,103.0,V2,90.0,58.8,Liquid,Chain
7202,110.0,V2,90.0,58.8,Liquid,Chain
7203,116.0,V2,90.0,58.8,Liquid,Chain
7205,60.0,V2,80.0,74.4,Air,Chain
7206,70.0,V2,88.0,61.5,Air,Chain
7207,70.0,V2,88.0,61.5,Air,Chain
7208,70.0,V2,88.0,61.5,Air,Chain
7209,70.0,V2,88.0,61.5,Air,Chain
7210,60.0,V2,80.0,74.4,Air,Chain
7211,60.0,V2,80.0,74.4,Air,Chain
7212,60.0,V2,80.0,74.4,Air,Chain
7216,73.0,V2,88.0,61.5,Air,Chain
7217,73.0,V2,88.0,61.5,Air,Chain
7218,73.0,V2,88.0,61.5,Air,Chain
7219,73.0,V2,88.0,61.5,Air,Chain
7220,73.0,V2,88.0,61.5,Air,Chain
7222,85.0,V2,88.0,61.5,Air,Chain
7223,72.0,V2,88.0,61.5,Air,Chain
7224,72.0,V2,88.0,61.5,Air,Chain
